frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags,mqtt.msgtype,mqtt.topic
"1776192578.074698414","127.0.0.1","127.0.0.1","48284","32947","68","0x0010",,
"1776192578.074810247","192.168.0.110","192.168.0.110","1883","36945","72","0x0018","2",
"1776192578.074835289","192.168.0.110","192.168.0.110","36945","1883","68","0x0010",,
"1776192578.927764248","192.168.0.112","192.168.0.110","42237","1883","731","0x0018","3","Movement"
"1776192578.927820581","192.168.0.110","192.168.0.112","1883","42237","68","0x0010",,
"1776192579.080616664","192.168.0.110","192.168.0.110","33601","1883","76","0x0002",,
"1776192579.080771789","192.168.0.110","192.168.0.110","1883","33601","76","0x0012",,
"1776192579.080848289","192.168.0.110","192.168.0.110","33601","1883","68","0x0010",,
"1776192579.081085581","192.168.0.110","192.168.0.110","33601","1883","101","0x0018","1",
"1776192579.081115081","192.168.0.110","192.168.0.110","1883","33601","68","0x0010",,
"1776192579.081303914","127.0.0.1","127.0.0.1","34008","36321","76","0x0002",,
"1776192579.081336289","127.0.0.1","127.0.0.1","36321","34008","76","0x0012",,
"1776192579.081369206","127.0.0.1","127.0.0.1","34008","36321","68","0x0010",,
"1776192579.081460748","192.168.0.110","192.168.0.110","1883","33601","72","0x0018","2",
"1776192579.081493456","192.168.0.110","192.168.0.110","33601","1883","68","0x0010",,
"1776192579.082596206","127.0.0.1","127.0.0.1","36321","34008","69","0x0018",,
"1776192579.082669164","127.0.0.1","127.0.0.1","34008","36321","68","0x0010",,
"1776192579.082794998","192.168.0.110","192.168.0.110","33601","1883","110","0x0018","3","icu/attacker/slowite_like"
"1776192579.126751373","192.168.0.110","192.168.0.110","1883","33601","68","0x0010",,
"1776192579.923382790","192.168.0.111","192.168.0.110","45339","1883","782","0x0018","3","Fan Speed"
"1776192579.923464956","192.168.0.110","192.168.0.111","1883","45339","68","0x0010",,
"1776192579.923584873","192.168.0.112","192.168.0.110","42237","1883","731","0x0018","3","Movement"
"1776192579.923747165","192.168.0.110","192.168.0.112","1883","42237","68","0x0010",,
"1776192580.087904082","192.168.0.110","192.168.0.110","57287","1883","76","0x0002",,
"1776192580.088031290","192.168.0.110","192.168.0.110","1883","57287","76","0x0012",,
"1776192580.088089998","192.168.0.110","192.168.0.110","57287","1883","68","0x0010",,
"1776192580.088276873","192.168.0.110","192.168.0.110","57287","1883","101","0x0018","1",
