frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags,mqtt.msgtype,mqtt.topic,label
1775524149.7019513,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524149.701965,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524149.9361396,,,36296.0,80.0,96,0x0002,,,normal
1775524150.159345,,,80.0,36296.0,96,0x0012,,,normal
1775524150.1594183,,,36296.0,80.0,88,0x0010,,,normal
1775524150.1595595,,,36296.0,80.0,176,0x0018,,,normal
1775524150.2885923,,,80.0,36296.0,273,0x0018,,,normal
1775524150.2885952,,,80.0,36296.0,88,0x0011,,,normal
1775524150.2886658,,,36296.0,80.0,88,0x0010,,,normal
1775524150.2888553,,,36296.0,80.0,88,0x0011,,,normal
1775524150.4795616,,,80.0,36296.0,88,0x0010,,,normal
1775524150.701346,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524150.701371,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524151.7044053,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524151.7044978,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524152.1109753,,,,,44,,,,normal
1775524152.1112452,,,,,44,,,,normal
1775524152.7025285,192.168.0.111,192.168.0.110,32977.0,1883.0,782,0x0018,3.0,Fan Speed,normal
1775524152.7025716,192.168.0.110,192.168.0.111,1883.0,32977.0,68,0x0010,,,normal
1775524152.702608,192.168.0.113,192.168.0.110,35173.0,1883.0,935,0x0018,3.0,Temperature,normal
1775524152.7026248,192.168.0.110,192.168.0.113,1883.0,35173.0,68,0x0010,,,normal
1775524152.702664,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524152.7026792,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524153.7051375,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524153.7052,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524154.7016516,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524154.701676,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524155.457947,,,,,88,,,,normal
1775524155.4580157,,,,,80,,,,normal
1775524155.702788,192.168.0.111,192.168.0.110,32977.0,1883.0,782,0x0018,3.0,Fan Speed,normal
1775524155.7028444,192.168.0.110,192.168.0.111,1883.0,32977.0,68,0x0010,,,normal
1775524155.7030056,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524155.7030303,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524156.701226,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524156.7012675,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524156.701314,192.168.0.113,192.168.0.110,35173.0,1883.0,884,0x0018,3.0,Temperature,normal
1775524156.7013288,192.168.0.110,192.168.0.113,1883.0,35173.0,68,0x0010,,,normal
1775524157.7046444,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524157.7046912,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524158.702336,192.168.0.111,192.168.0.110,32977.0,1883.0,782,0x0018,3.0,Fan Speed,normal
1775524158.7023692,192.168.0.110,192.168.0.111,1883.0,32977.0,68,0x0010,,,normal
1775524158.702402,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524158.7024143,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524159.7068367,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524159.706914,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524160.702848,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524160.7029696,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524160.7030516,192.168.0.113,192.168.0.110,35173.0,1883.0,986,0x0018,3.0,Temperature,normal
1775524160.7030718,192.168.0.110,192.168.0.113,1883.0,35173.0,68,0x0010,,,normal
1775524160.8167,,,,,88,,,,normal
1775524160.8170629,,,,,80,,,,normal
1775524161.7025018,192.168.0.111,192.168.0.110,32977.0,1883.0,782,0x0018,3.0,Fan Speed,normal
1775524161.7025309,192.168.0.110,192.168.0.111,1883.0,32977.0,68,0x0010,,,normal
1775524161.7025626,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524161.7025723,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524162.702103,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524162.7021291,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524163.7012472,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524163.7013092,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524164.702496,192.168.0.111,192.168.0.110,32977.0,1883.0,782,0x0018,3.0,Fan Speed,normal
