frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags,mqtt.msgtype,mqtt.topic,label
1775524176.2035568,12,13,32977.0,1883.0,68,3,-1.0,2,1
1775524176.20418,11,16,1883.0,35173.0,70,7,13.0,2,1
1775524176.204193,14,13,35173.0,1883.0,68,3,-1.0,2,1
1775524176.2042131,11,15,1883.0,39919.0,70,7,13.0,2,1
1775524176.204221,13,13,39919.0,1883.0,68,3,-1.0,2,1
1775524176.7047188,12,13,32977.0,1883.0,782,7,3.0,0,1
1775524176.7048492,14,13,35173.0,1883.0,935,7,3.0,3,1
1775524176.705011,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524176.746132,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524176.7461507,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524176.746156,11,16,1883.0,35173.0,68,3,-1.0,2,1
1775524177.7052732,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524177.705335,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524178.701776,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524178.7018063,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524179.703293,12,13,32977.0,1883.0,782,7,3.0,0,1
1775524179.7033572,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524179.7034547,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524179.7034824,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524180.7017913,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524180.7018354,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524180.701989,14,13,35173.0,1883.0,986,7,3.0,3,1
1775524180.7020085,11,16,1883.0,35173.0,68,3,-1.0,2,1
1775524181.7005277,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524181.7005508,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524182.7032564,12,13,32977.0,1883.0,782,7,3.0,0,1
1775524182.703467,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524182.703627,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524182.703651,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524183.70213,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524183.7021742,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524184.7060368,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524184.7060635,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524184.706097,14,13,35173.0,1883.0,935,7,3.0,3,1
1775524184.706104,11,16,1883.0,35173.0,68,3,-1.0,2,1
1775524185.707409,12,13,32977.0,1883.0,782,7,3.0,0,1
1775524185.7074852,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524185.7076335,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524185.707646,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524186.7028172,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524186.7029977,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524187.7021153,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524187.7021544,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524188.7053573,12,13,32977.0,1883.0,782,7,3.0,0,1
1775524188.705408,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524188.7054543,14,13,35173.0,1883.0,986,7,3.0,3,1
1775524188.7054756,11,16,1883.0,35173.0,68,3,-1.0,2,1
1775524188.7055357,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524188.7055552,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524189.7050948,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524189.7051852,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524190.7015817,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524190.7016096,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524191.7064807,12,13,32977.0,1883.0,782,7,3.0,0,1
1775524191.706539,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524191.7066224,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524191.70665,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524192.7075849,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524192.7076397,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524192.7077026,14,13,35173.0,1883.0,935,7,3.0,3,1
1775524192.707723,11,16,1883.0,35173.0,68,3,-1.0,2,1
1775524193.7032037,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524193.7032423,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524194.707074,12,13,32977.0,1883.0,782,7,3.0,0,1
1775524194.7071364,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524194.7072875,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524194.7073092,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524195.7027612,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524195.7028143,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524196.7066116,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524196.7066543,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524196.7067285,14,13,35173.0,1883.0,935,7,3.0,3,1
1775524196.7067423,11,16,1883.0,35173.0,68,3,-1.0,2,1
1775524197.2899897,0,0,0.0,0.0,144,0,-1.0,2,1
1775524197.2941494,0,0,0.0,0.0,152,0,-1.0,2,1
1775524197.7015228,12,13,32977.0,1883.0,782,7,3.0,0,1
1775524197.7015617,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524197.7016037,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524197.7016168,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524198.256328,0,0,0.0,0.0,152,0,-1.0,2,1
1775524198.7031484,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524198.7032127,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524199.7066224,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524199.7067037,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524200.7070296,12,13,32977.0,1883.0,782,7,3.0,0,1
1775524200.7072513,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524200.7073388,14,13,35173.0,1883.0,986,7,3.0,3,1
1775524200.707366,11,16,1883.0,35173.0,68,3,-1.0,2,1
1775524200.7074387,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524200.707458,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524201.705644,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524201.7056808,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524202.7070253,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524202.7070763,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524203.7020345,12,13,32977.0,1883.0,782,7,3.0,0,1
1775524203.702068,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524203.702108,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524203.7021196,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524204.70365,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524204.703707,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524204.7037606,14,13,35173.0,1883.0,935,7,3.0,3,1
1775524204.7037776,11,16,1883.0,35173.0,68,3,-1.0,2,1
1775524205.705358,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524205.705398,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524206.7037952,12,13,32977.0,1883.0,782,7,3.0,0,1
1775524206.703837,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524206.704173,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524206.7042017,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524207.701805,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524207.7019594,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524208.7027748,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524208.7028067,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524208.7028456,14,13,35173.0,1883.0,935,7,3.0,3,1
1775524208.7029116,11,16,1883.0,35173.0,68,3,-1.0,2,1
1775524209.702278,12,13,32977.0,1883.0,782,7,3.0,0,1
1775524209.702338,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524209.7024364,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524209.7024658,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524210.702026,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524210.7020533,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524211.7022684,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524211.7023077,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524212.7023845,12,13,32977.0,1883.0,782,7,3.0,0,1
1775524212.702422,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524212.7024622,14,13,35173.0,1883.0,986,7,3.0,3,1
1775524212.7024808,11,16,1883.0,35173.0,68,3,-1.0,2,1
1775524212.7025175,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524212.7025297,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524213.7020197,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524213.70204,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524214.70151,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524214.7015324,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524215.7027729,12,13,32977.0,1883.0,782,7,3.0,0,1
1775524215.702804,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524215.7028368,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524215.702848,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524216.7013664,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524216.7013924,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524216.7014773,14,13,35173.0,1883.0,986,7,3.0,3,1
1775524216.7014897,11,16,1883.0,35173.0,68,3,-1.0,2,1
1775524217.7019396,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524217.701965,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524218.7029476,12,13,32977.0,1883.0,782,7,3.0,0,1
1775524218.7029784,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524218.7030356,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524218.7030473,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524219.702378,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524219.7024734,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524220.7023067,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524220.7024474,11,15,1883.0,39919.0,68,3,-1.0,2,1
