frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags,mqtt.msgtype,mqtt.topic
"1776054825.308794242","192.168.0.110","192.168.0.111","1883","44505","68","0x0010",,
"1776054825.308886908","192.168.0.120","192.168.0.110","40409","1883","1342","0x0018","3","Movement"
"1776054825.308931700","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054825.309536118","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054825.309580493","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054825.387128850","192.168.64.3","91.189.91.97","38484","80","76","0x0002",,
"1776054826.307463001","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054826.307544334","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054826.307756835","192.168.0.120","192.168.0.110","40409","1883","1472","0x0018","3","Movement"
"1776054826.307778918","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054826.406232096","192.168.64.3","91.189.91.97","38484","80","76","0x0002",,
"1776054827.309273306","192.168.0.113","192.168.0.110","35227","1883","986","0x0018","3","Temperature"
"1776054827.309326806","192.168.0.110","192.168.0.113","1883","35227","68","0x0010",,
"1776054827.309374264","192.168.0.120","192.168.0.110","40409","1883","1355","0x0018","3","Movement"
"1776054827.309392806","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054827.309439806","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054827.309455431","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054827.431198225","192.168.64.3","91.189.91.97","38484","80","76","0x0002",,
"1776054828.306300938","192.168.0.111","192.168.0.110","44505","1883","782","0x0018","3","Fan Speed"
"1776054828.306432396","192.168.0.110","192.168.0.111","1883","44505","68","0x0010",,
"1776054828.306526855","192.168.0.120","192.168.0.110","40409","1883","1368","0x0018","3","Movement"
"1776054828.308330482","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
