frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags,mqtt.msgtype,mqtt.topic
"1775524165.702103675","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524166.573713891",,,,,"88",,,
"1775524166.573754891",,,,,"80",,,
"1775524166.700839256","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524166.700916256","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524167.700826089","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524167.700847798","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524167.700898756","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524167.700906006","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524168.707212717","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524168.707297842","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524168.707405550","192.168.0.113","192.168.0.110","35173","1883","935","0x0018","3","Temperature"
"1775524168.707433925","192.168.0.110","192.168.0.113","1883","35173","68","0x0010",,
"1775524169.701704182","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524169.701755515","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524170.700709815","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524170.700745273","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524170.700779940","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524170.700790565","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524171.702376493","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524171.702426743","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524172.702401340","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524172.702438382","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524172.702469382","192.168.0.113","192.168.0.110","35173","1883","986","0x0018","3","Temperature"
"1775524172.702479715","192.168.0.110","192.168.0.113","1883","35173","68","0x0010",,
"1775524173.702088607","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524173.702119190","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524173.702204023","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524173.702262815","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524174.702612543","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524174.702742293","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524175.702368106","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524175.702400315","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524176.203363535","192.168.0.111","192.168.0.110","32977","1883","70","0x0018","12",
"1775524176.203410868","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524176.203441451","192.168.0.113","192.168.0.110","35173","1883","70","0x0018","12",
"1775524176.203453201","192.168.0.110","192.168.0.113","1883","35173","68","0x0010",,
"1775524176.203484660","192.168.0.112","192.168.0.110","39919","1883","70","0x0018","12",
"1775524176.203494535","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
